author,content,created_at,postLink,Sentiment_Score,Sentiment_Label
psyhunter29.bsky.social,"""Sport Girl Summer 2024 - Chun-Li"" #art #myart

The #olympics are over, but SGS pushes on with four #streetfighter women taking on the #triathlon.  Wrapping it up is a victorious Chun-Li.

Alt versions coming soon to Patreon.",2024-08-21T23:07:28.297Z,https://bsky.app/profile/psyhunter29.bsky.social/post/3l2bahmpdl623,0.0,Neutral
psyhunter29.bsky.social,"
""Sport Girl Summer 2024 - Elena"" #art #myart

The #olympics are over, but SGS pushes on with four #streetfighter women taking on the #triathlon.  Next is Elena on the running leg.

Alt versions coming soon to Patreon.",2024-08-16T00:19:33.142Z,https://bsky.app/profile/psyhunter29.bsky.social/post/3kzsboylz2n2a,0.0,Neutral
maladroithe.bsky.social,You just have to tell them there are no electric kettles in the Olympic village,2024-08-13T00:27:03.938Z,https://bsky.app/profile/maladroithe.bsky.social/post/3kzkqpnlrnu2w,-0.296,Negative
llewcid.bsky.social,Would watch the fuck out of a show where they pitted these people against an Olympian,2024-08-12T13:57:30.994Z,https://bsky.app/profile/llewcid.bsky.social/post/3kzjnjwet5p2a,-0.5423,Negative
psyhunter29.bsky.social,"""Sport Girl Summer 2024 - Manon""

SGS is back for the #olympics, featuring four #streetfighter women taking on the #triathlon.  Next is Manon on the cycling leg.

Alt versions coming soon to Patreon.",2024-08-11T18:17:36.181Z,https://bsky.app/profile/psyhunter29.bsky.social/post/3kzhlm4kdtp2y,0.0,Neutral
psyhunter29.bsky.social,"""Sport Girl Summer 2024 - Cammy"" 
 
SGS is back for the #olympics, featuring four #streetfighter women taking on the #triathlon.  First is Cammy on the swimming leg.

Alt versions coming soon to Patreon.",2024-08-08T00:35:07.672Z,https://bsky.app/profile/psyhunter29.bsky.social/post/3kz66thk7np2c,0.0,Neutral
news-feed.bsky.social,"@AFP: Olympics Topshots - 1.

@AFP photographers capture the action on Day 10 of the 2024 Paris #Olympics 

- The men's pole vault final
- Technical routine in artistic swimming
- Women's uneven bars final
- Finish line in the mixed relay triathlon race https://t.co/tHoSXanuDU",2024-08-06T02:21:43.135Z,https://bsky.app/profile/news-feed.bsky.social/post/3kyzdu7uy7226,0.0,Neutral
faceintheblue.bsky.social,"My wife and I watch as much of the Olympics as we can. It's always on if we're home. We watch our favourites, & we also experiment with the niche sports.

My best watch so far for Paris 2024? I've watched Men's and Women's Triathlon, and the Mixed Relay Triathlon. The grit and drama... What a sport.",2024-08-05T22:49:53.784Z,https://bsky.app/profile/faceintheblue.bsky.social/post/3kyyxzhiqpk2f,0.6369,Positive
bbcnews-uk-rss.bsky.social,Olympics 2024: GB win bronze medal in triathlon mixed team relay,2024-08-05T17:47:00.673Z,https://bsky.app/profile/bbcnews-uk-rss.bsky.social/post/3kyyh3u7lhu2b,0.7845,Positive
globalvoters.bsky.social,'Colossal effort' as Team GB win bronze in triathlon mixed relay: Defending champions Great Britain secure a bronze medal in the triathlon mixed team relay at the Paris 2024 Olympics after a photo finish.,2024-08-05T15:50:07.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyyakuf4ik23,0.9501,Positive
davidho.bsky.social,"It seems anyone who's ever studied point source pollution or transport and mixing in rivers would be horrified by them holding a swimming competition in the Seine.

apnews.com/article/o...",2024-08-05T14:07:57.000Z,https://bsky.app/profile/davidho.bsky.social/post/3kyy2u5hdmj2m,-0.5423,Negative
globalvoters.bsky.social,Top five stories from Paris Olympics day 10: Great Britain win a third triathlon medal at the Paris 2024 Olympics on Monday after a dramatic finish to the mixed relay.,2024-08-05T13:04:54.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyxxdglnwc2c,0.9153,Positive
globalvoters.bsky.social,Top five stories from Paris Olympics day 10: Great Britain win a third triathlon medal at the Paris 2024 Olympics on Monday after a dramatic finish to the mixed relay.,2024-08-05T12:59:13.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyxwzbdhgz2s,0.9153,Positive
byteseu.bsky.social,"Triathlon at the 2024 Paris Olympics: the swimmability of the Seine is not a factor in the health of Swiss triathletes, no hospitalization for Belgian Claire Michel

https://www.byteseu.com/313341/

Triathlon at the 2024 Paris Olympics: the swimmability of the Seine is not a factor in the health …",2024-08-05T10:26:17.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyxohujbh323,-0.296,Negative
australia.theguardian.com,"Paris 2024 Olympics day 10: GB triathlon silver, athletics, cycling, gymnastics and more – live",2024-08-05T08:04:09.148Z,https://bsky.app/profile/australia.theguardian.com/post/3kyxgjmlbfd2i,0.0,Neutral
byteseu.bsky.social,"Paris Olympics 2024 * 05/08/2024 * Pitchforks out, Foconi is coming

https://www.byteseu.com/312981/

Medal events 08:00 – Triathlon: 4X mixed relay 09:30 – Shooting: Men’s 25m Pistol Final 09:45 – Badminton: women’s singles 1st/2nd final 11:45 – Artistic Gymnastics: Men’s Parallel Bars Final …",2024-08-05T06:52:17.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyxcj6puyt22,0.4767,Positive
wsfm.bsky.social,"Live Stream 🔴 Triathlon Olympics 2024
--
Mixed Relay Final and Awards Ceremony 🥇
#Olympics #Triathlon

Link 1 👉 is.gd/l3nQJj
Link 2 👉 is.gd/Sln8nw",2024-08-05T03:55:58.457Z,https://bsky.app/profile/wsfm.bsky.social/post/3kywynvekxc26,0.4588,Positive
waynogur.bsky.social,"#Olympics

Sh*t water. Literally.

Belgium drops out of mixed triathlon and Switzerland shuffles line-up after athletes fall ill following race in River Seine

www.cnn.com/2024/08/04/s...",2024-08-04T18:52:00.827Z,https://bsky.app/profile/waynogur.bsky.social/post/3kyw2b65bqh27,-0.4215,Negative
byteseu.bsky.social,"2024 Olympics: Belgian triathlon team withdraws due to illness linked to swimming in the Seine

https://www.byteseu.com/311650/

2024 Olympics: Belgian triathlon team withdraws due to illness linked to swimming in the Seine …",2024-08-04T17:26:12.000Z,https://bsky.app/profile/byteseu.bsky.social/post/3kyvvhsdrps2h,-0.6597,Negative
blipsnewslinks.bsky.social,"BLIP'S 2024 OLYMPICS TIDBITS: JULY 31ST 2024

Olympic Triathlon Competitions Take Place In Seine River... North And South Korea Table Tennis Teams Take Selfie Together...  What Is The Monetary Value Of An Olympic Gold Medal?

#Paris2024 #Olympics

CHECK OUT blips.news",2024-07-31T19:39:48.237Z,https://bsky.app/profile/blipsnewslinks.bsky.social/post/3kym32xkizk2q,0.6705,Positive
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨1 - gaza
2nd - slam
3rd - holliday
4th - hallo
5th - nabj
6th - association
7th - whoa
8th - upgrade
9th - stephanie
10th - southport
(tap/click to see all posts on Bluesky featuring that word!)

#йобанарусня 🇺🇦",2024-07-31T18:10:48.391Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kylw3sczf42g,-0.2714,Negative
afp-bot.bsky.social,"#UPDATE France's Cassandre Beaugrand and Britain's Alex Yee won gold as the Paris #Olympics triathlon went ahead on Wednesday after delays caused by water pollution, while the USA men's basketball team eyed the quarter-finals https://u.afp.com/52Jk #AFPSports #Paris2024",2024-07-31T13:18:20.820Z,https://bsky.app/profile/afp-bot.bsky.social/post/3kylfr3355w2w,0.5719,Positive
news-feed.bsky.social,@LeMonde_EN: Triathlon at the 2024 Olympics: A long-awaited green flag for events in the Seine https://t.co/L4gwwmXfAR,2024-07-31T13:06:27.498Z,https://bsky.app/profile/news-feed.bsky.social/post/3kylf3m47zk2c,0.0,Neutral
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
️⚠️💨2 - バレー
️⚠️💨1 - bmx
️⚠️💨1 - ツルギ
️⚠️💨1 - 豪雨
️⚠️💨1 - 森下
️⚠️💨1 - 大雨
️⚠️💨1 - haniyeh
8th - 晒そ
9th - 月末
10th - 描こ
(tap/click to see all posts on Bluesky featuring that word!)

#FreePalestine 🇵🇸",2024-07-31T12:10:44.971Z,https://bsky.app/profile/nowbreezing.ntw.app/post/3kylbxxosmk2a,0.2714,Positive
globalvoters.bsky.social,Yee wins triathlon gold after 'astonishing' comeback - highlights: Watch highlights as Alex Yee wins gold in the men's triathlon after he came back from being 15 seconds behind to overtake New Zealand's Hayden Wilde in a dramatic finale at the Paris 2024 Olympics.,2024-07-31T11:36:11.000Z,https://bsky.app/profile/globalvoters.bsky.social/post/3kyla26agga2f,0.8126,Positive
